name,id,nametype,recclass,mass,year,reclat,reclong,coordinates
Dowa,7725,Valid,Stone-uncl,0.0,1976-01-01,-13.66667,33.91667,"[0, 0]"
Drake Creek,7728,Valid,L6,0.0,1827-01-01,36.4,-86.5,"[0, 0]"
Dresden (Ontario),7731,Valid,H6,0.0,1939-01-01,42.52,-82.26,"[0, 0]"
Dubrovnik,7736,Valid,L3-6,0.0,1951-01-01,42.45833,18.44167,"[0, 0]"
Dunbogan,7743,Valid,L6,0.0,1999-01-01,-31.66667,152.83333,"[0, 0]"
Dundrum,7745,Valid,H5,0.0,1865-01-01,52.55,-8.03333,"[0, 0]"
Dunhua,7749,Valid,Stone-uncl,0.0,1976-01-01,43.33333,128.25,"[0, 0]"
Durala,7750,Valid,L6,0.0,1815-01-01,30.3,76.63333,"[0, 0]"
Duruma,7752,Valid,L6,0.0,1853-01-01,-4.0,39.5,"[0, 0]"
Duwun,7754,Valid,L6,0.0,1943-01-01,33.43333,127.26667,"[0, 0]"
Dwaleni,7755,Valid,H4-6,0.0,1970-01-01,-27.2,31.31667,"[0, 0]"
Dyalpur,7757,Valid,Ureilite,0.0,1872-01-01,26.25,82.0,"[0, 0]"
Dyarrl Island,7758,Valid,Mesosiderite-A1,0.0,1933-01-01,-3.0,151.0,"[0, 0]"
Eagle,7760,Valid,EL6,0.0,1947-01-01,40.78167,-96.47167,"[0, 0]"
Ehole,7774,Valid,H5,0.0,1961-01-01,-17.3,15.83333,"[0, 0]"
Eichstädt,7775,Valid,H5,0.0,1785-01-01,48.9,11.21667,"[0, 0]"
Ekeby,7776,Valid,H4,0.0,1939-01-01,56.03333,13.0,"[0, 0]"
Ekh Khera,7777,Valid,H6,0.0,1916-01-01,28.26667,78.78333,"[0, 0]"
El Idrissia,7807,Valid,L6,0.0,1989-01-01,34.41667,3.25,"[0, 0]"
El Paso de Aguila,45977,Valid,H5,0.0,1977-01-01,25.37,-97.37,"[0, 0]"
El Tigre,7819,Valid,L6,0.0,1993-01-01,19.96722,-103.05167,"[0, 0]"
Elbert,7822,Valid,LL6,0.0,1998-01-01,39.24667,-104.58817,"[0, 0]"
Elbogen,7823,Valid,"Iron, IID",0.0,,50.18333,12.73333,"[0, 0]"
Elenovka,7824,Valid,L5,0.0,1951-01-01,47.83333,37.66667,"[0, 0]"
Ellemeet,10019,Valid,Diogenite,0.0,1925-01-01,51.75,4.0,"[0, 0]"
Emmaville,10033,Valid,Eucrite-mmict,0.0,1900-01-01,-29.46667,151.61667,"[0, 0]"
Enshi,10038,Valid,H5,0.0,1974-01-01,30.3,109.5,"[0, 0]"
Ensisheim,10039,Valid,LL6,0.0,,47.86667,7.35,"[0, 0]"
Épinal,10041,Valid,H5,0.0,1822-01-01,48.18333,6.46667,"[0, 0]"
Erakot,10042,Valid,CM2,0.0,1940-01-01,19.03333,81.89167,"[0, 0]"
Erevan,10043,Valid,Howardite,0.0,1911-01-01,40.3,44.5,"[0, 0]"
Ergheo,10044,Valid,L5,0.0,1889-01-01,1.16667,44.16667,"[0, 0]"
Erxleben,10049,Valid,H6,0.0,1812-01-01,52.21667,11.25,"[0, 0]"
Esnandes,10051,Valid,L6,0.0,1837-01-01,46.25,-1.1,"[0, 0]"
Essebi,10055,Valid,C2-ung,0.0,1957-01-01,2.88333,30.83333,"[0, 0]"
Estherville,10059,Valid,Mesosiderite-A3/4,0.0,1879-01-01,43.41667,-94.83333,"[0, 0]"
Farmington,10074,Valid,L5,0.0,1890-01-01,39.75,-97.03333,"[0, 0]"
