name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Chela,5338,H4,2936.0,Fell,1988-01-01,-3.66667,32.5,"[-3.66667, 32.5]"
Chelyabinsk,57165,LL5,100000.0,Fell,2013-01-01,54.81667,61.11667,"[54.81667, 61.11667]"
Chergach ,47347,H5,100000.0,Fell,2007-01-01,23.69639,-5.01472,"[23.69639, -5.01472]"
Chernyi Bor,5339,H4,6000.0,Fell,1964-01-01,53.7,30.1,"[53.7, 30.1]"
Cherokee Springs,5340,LL6,8400.0,Fell,1933-01-01,35.03333,-81.88333,"[35.03333, -81.88333]"
Chervettaz,5341,L5,705.0,Fell,1901-01-01,46.55,6.81667,"[46.55, 6.81667]"
Chervony Kut,5342,Eucrite-mmict,1700.0,Fell,1939-01-01,50.83333,34.0,"[50.83333, 34.0]"
Chetrinahatti,5344,Stone-uncl,72.0,Fell,1880-01-01,14.5,76.5,"[14.5, 76.5]"
Chiang Khan,5345,H6,367.0,Fell,1981-01-01,17.9,101.63333,"[17.9, 101.63333]"
Chicora,5349,LL6,303.0,Fell,1938-01-01,40.93333,-79.73333,"[40.93333, -79.73333]"
Chisenga,5355,"Iron, IIIAB",3920.0,Fell,1988-01-01,-10.05944,33.395,"[-10.05944, 33.395]"
Chitenay,5357,L6,4000.0,Fell,1978-01-01,47.47083,0.97667,"[47.47083, 0.97667]"
Cilimus,5364,L5,1600.0,Fell,1979-01-01,-6.95,108.1,"[-6.95, 108.1]"
Claxton,5374,L6,1455.0,Fell,1984-01-01,32.1025,-81.87278,"[32.1025, -81.87278]"
Colby (Wisconsin),5395,L6,104000.0,Fell,1917-01-01,44.9,-90.28333,"[44.9, -90.28333]"
Cold Bokkeveld,5397,CM2,5200.0,Fell,1838-01-01,-33.13333,19.38333,"[-33.13333, 19.38333]"
Coleman,5401,L6,469.0,Fell,1994-01-01,43.76111,-84.50778,"[43.76111, -84.50778]"
Collescipoli,5403,H5,5000.0,Fell,1890-01-01,42.53333,12.61667,"[42.53333, 12.61667]"
Conquista,5418,H4,20350.0,Fell,1965-01-01,-19.85,-47.55,"[-19.85, -47.55]"
Cosina,5451,H5,1200.0,Fell,1844-01-01,21.16667,-100.86667,"[21.16667, -100.86667]"
Cranganore,5465,L6,1460.0,Fell,1917-01-01,10.2,76.26667,"[10.2, 76.26667]"
Crescent,5470,CM2,78.4,Fell,1936-01-01,35.95,-97.58333,"[35.95, -97.58333]"
Cronstad,5474,H5,3650.0,Fell,1877-01-01,-27.7,27.3,"[-27.7, 27.3]"
Cross Roads,5476,H5,167.0,Fell,1892-01-01,35.63333,-78.13333,"[35.63333, -78.13333]"
Crumlin,5477,L5,4255.0,Fell,1902-01-01,54.61667,-6.21667,"[54.61667, -6.21667]"
Cumberland Falls,5496,Aubrite,17000.0,Fell,1919-01-01,36.83333,-84.35,"[36.83333, -84.35]"
